image_uri,prompt,diagram,neural_network
images_gen\bing\class_diagram\1_1_B.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\1_2_B.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\1_3_B.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\1_4_B.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\1_5_B.jpg,Сгенерируй диаграмму классов,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\2_1_B.jpg,Сгенерируй class diagram,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\2_2_B.jpg,Сгенерируй class diagram,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\2_3_B.jpg,Сгенерируй class diagram,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\2_4_B.jpg,Сгенерируй class diagram,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\2_5_B.jpg,Сгенерируй class diagram,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\3_1_B.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\3_2_B.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\3_3_B.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\3_4_B.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\3_5_B.jpg,Сгенерируй диаграмму классов на языке UML,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\4_1_B.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\4_2_B.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\4_3_B.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\4_4_B.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\4_5_B.jpg,Сгенерируй диаграмму классов на языке UML. Классы в объектно-ориентированном моделировании представлены с тремя компонентами: в верхней части имя класса. Поля (атрибуты) класса располагаются в центральной части. Методы класса пишутся в нижней части.,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\5_1_B.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\5_2_B.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\5_3_B.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\5_4_B.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\5_5_B.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\6_1_B.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\6_2_B.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\6_3_B.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,Bing Creator Image
images_gen\bing\class_diagram\6_4_B.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,Bing Creator Image
